SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue,Helper,2010 index Value Alc,2010 index Value All,2010 Price, 2010 *6M ,2010 UOM, 2010 USD conversion , Total USD All(/6M) ,Price per that year,Total Household Exp,Total Alc Market,Total Market Growth
NOR,EUR,1999,3.9,1999,NOR1999,84.47,80.55,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5055291.3,3.03317E+13,1.18294E+12,74.51
NOR,EUR,2000,3.9,2000,NOR2000,87.16,82.85,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5199638.53,3.11978E+13,1.21672E+12,76.81
NOR,EUR,2001,3.9,2001,NOR2001,88.92,84.6,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5309467.95,3.18568E+13,1.24242E+12,78.56
JPN,WPR,2003,1.1,2003,JPN2003,#N/A,104.57,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,16.790125
NOR,EUR,2002,3.5,2002,NOR2002,88.06,85.72,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5379758.78,3.22786E+13,1.12975E+12,79.68
NOR,EUR,2003,3.2,2003,NOR2003,87.42,88.14,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5531637.18,3.31898E+13,1.06207E+12,82.1
NOR,EUR,2004,3.2,2004,NOR2004,86.63,89.18,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5596907.24,3.35814E+13,1.07461E+12,83.14
CAN,AMR,2003,2.1,2003,CAN2003,91.42,91.76,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,90.729837
NOR,EUR,2005,3.1,2005,NOR2005,88.34,90.08,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5653390.94,3.39203E+13,1.05153E+12,84.04
USA,AMR,2003,1,2003,USA2003,87.34,85.69,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,84.69
NOR,EUR,2006,2.9,2006,NOR2006,89.65,91.6,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5748785.63,3.44927E+13,1.00029E+12,85.56
NOR,EUR,2007,2.8,2007,NOR2007,90.45,92.56,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,5809034.92,3.48542E+13,9.75918E+11,86.52
NOR,EUR,2008,2.7,2008,NOR2008,93.68,95.66,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,6003589.89,3.60215E+13,9.72582E+11,89.62
NOR,EUR,2009,2.2,2009,NOR2009,98.36,97.99,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,6149819.91,3.68989E+13,8.11776E+11,91.95
NOR,EUR,2010,2.1,2010,NOR2010,100,100,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,6275966.85,3.76558E+13,7.90772E+11,93.96
NOR,EUR,2011,2,2011,NOR2011,104.87,100.97,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,6336843.73,3.80211E+13,7.60421E+11,94.93
USA,AMR,2004,1.1,2004,USA2004,89.32,87.91,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,86.91
NOR,EUR,2012,2.2,2012,NOR2012,107.6,101.96,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,6398975.8,3.83939E+13,8.44665E+11,95.92
NOR,EUR,2013,2.3,2013,NOR2013,112.31,104.06,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,6530771.1,3.91846E+13,9.01246E+11,98.02
NOR,EUR,2014,2.2,2014,NOR2014,115.02,106.35,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,6674490.74,4.00469E+13,8.81033E+11,100.31
AUS,WPR,2004,2.6,2004,AUS2004,84.66,84.56,775116,"4,650,696,000,000.00",AUD,1.090159,, $-   , $-   , $-   ,83.469841
JPN,WPR,2004,1.1,2004,JPN2004,#N/A,103.99,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,16.210125
SWE,EUR,1992,3.7,1992,SWE1992,#N/A,#N/A,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,#N/A,#N/A,#N/A,#N/A
CAN,AMR,2004,2.1,2004,CAN2004,93.64,93.03,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,91.999837
SWE,EUR,1995,3.1,1995,SWE1995,85.76,81.21,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,9268156.95,5.56089E+13,1.72388E+12,74
SWE,EUR,1997,3.2,1997,SWE1997,88.48,82.98,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,9470159.63,5.6821E+13,1.81827E+12,75.77
SWE,EUR,1999,3.4,1999,SWE1999,92.63,84.48,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,9641348.34,5.78481E+13,1.96684E+12,77.27
SWE,EUR,2000,3.3,2000,SWE2000,94.13,85.2,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,9723518.92,5.83411E+13,1.92526E+12,77.99
SWE,EUR,2001,3.1,2001,SWE2001,94.66,86.98,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,9926662.86,5.956E+13,1.84636E+12,79.77
SWE,EUR,2002,3,2002,SWE2002,93.85,88.18,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,10063613.84,6.03817E+13,1.81145E+12,80.97
SWE,EUR,2003,3,2003,SWE2003,94.5,89.61,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,10226813.74,6.13609E+13,1.84083E+12,82.4
SWE,EUR,2004,2.8,2004,SWE2004,94.41,90.24,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,10298713,6.17923E+13,1.73018E+12,83.03
SWE,EUR,2005,2.8,2005,SWE2005,94.17,91.21,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,10409415.04,6.24565E+13,1.74878E+12,84
