SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PERCENT,BEER_PERCENT,WINE_PERCENT,OTHER_ALCOHOL_PERCENT,SPIRITS_PER_CAPITA,BEER_PER_CAPITA,WINE_PER_CAPITA,OTHER_ALCOHOL_PER_CAPITA,ALL_ALCOHOLS_PER_CAPITA,PercentHouseholdExp,SPIRITS_PRICE,BEER_PRICE,WINE_PRICE,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA,Most_Popular_Type_of_Spirit
ARE,EMR,2015,2015,0,0,0,0,1.68,0.21,0.14,0,2.03,0,0,0,0,0,0,0,0
ARG,AMR,1961,1961,0,0,0,0,2.03,0.75,13.61,0,16.39,0,0,0,0,0,0,0,Fernet
ARG,AMR,1962,1962,0,0,0,0,2.11,0.6,14.03,0,16.74,0,0,0,0,0,0,0,Fernet
ARG,AMR,1963,1963,0,0,0,0,2.38,0.37,14.85,0,17.6,0,0,0,0,0,0,0,Fernet
ARG,AMR,1964,1964,0,0,0,0,2.3,0.5,14.96,0,17.76,0,0,0,0,0,0,0,Fernet
ARG,AMR,1965,1965,0,0,0,0,2.3,0.72,14.75,0,17.77,0,0,0,0,0,0,0,Fernet
ARG,AMR,1966,1966,0,0,0,0,2.13,0.71,13.75,0,16.59,0,0,0,0,0,0,0,Fernet
ARG,AMR,1967,1967,0,0,0,0,2.14,0.66,14.16,0,16.97,0,0,0,0,0,0,0,Fernet
ARG,AMR,1968,1968,0,0,0,0,1.98,0.74,14.93,0,17.65,0,0,0,0,0,0,0,Fernet
ARG,AMR,1969,1969,0,0,0,0,1.97,0.8,15.07,0,17.84,0,0,0,0,0,0,0,Fernet
ARG,AMR,1970,1970,0,0,0,0,1.89,0.93,15.6,0,18.41,0,0,0,0,0,0,0,Fernet
ARG,AMR,1971,1971,0,0,0,0,1.82,0.79,14.42,0,17.02,0,0,0,0,0,0,0,Fernet
ARG,AMR,1972,1972,0,0,0,0,2.02,0.76,13.35,0,16.12,0,0,0,0,0,0,0,Fernet
ARG,AMR,1973,1973,0,0,0,0,2.04,0.79,12.19,0,15.02,0,0,0,0,0,0,0,Fernet
ARG,AMR,1974,1974,0,0,0,0,1.99,1.16,12.95,0,16.1,0,0,0,0,0,0,0,Fernet
ARG,AMR,1975,1975,0,0,0,0,2.49,1.02,14.02,0,17.53,0,0,0,0,0,0,0,Fernet
ARG,AMR,1976,1976,0,0,0,0,2.41,0.66,14.21,0,17.28,0,0,0,0,0,0,0,Fernet
ARG,AMR,1977,1977,0,0,0,0,1.42,0.61,14.91,0,17.06,0,0,0,0,0,0,0,Fernet
ARG,AMR,1978,1978,0,0,0,0,1.29,0.49,13.93,0,15.71,0,0,0,0,0,0,0,Fernet
ARG,AMR,1979,1979,0,0,0,0,2.44,0.5,13.13,0,16.06,0,0,0,0,0,0,0,Fernet
ARG,AMR,1980,1980,0,0,0,0,2.88,0.54,13.18,0,16.6,0,0,0,0,0,0,0,Fernet
ARG,AMR,1981,1981,0,0,0,0,1.88,0.47,12.94,0,15.29,0,0,0,0,0,0,0,Fernet
ARG,AMR,1982,1982,0,0,0,0,1.3,0.5,12.77,0,14.57,0,0,0,0,0,0,0,Fernet
