Id_x,IndicatorCode_x,SpatialDimType_x,SpatialDim,ParentLocationCode_x,TimeDimType_x,ParentLocation_x,Dim1Type_x,Dim1_x,TimeDim_x,Dim2Type_x,Dim2_x,Dim3Type_x,Dim3_x,DataSourceDimType_x,DataSourceDim_x,Value_x,NumericValue_x,Low_x,High_x,Comments_x,Date_x,TimeDimensionValue,TimeDimensionBegin_x,TimeDimensionEnd_x,Id_y,IndicatorCode_y,SpatialDimType_y,TimeDimType_y,ParentLocationCode_y,ParentLocation_y,Dim1Type_y,Dim1_y,TimeDim_y,Dim2Type_y,Dim2_y,Dim3Type_y,Dim3_y,DataSourceDimType_y,DataSourceDim_y,Value_y,NumericValue_y,Low_y,High_y,Comments_y,Date_y,TimeDimensionBegin_y,TimeDimensionEnd_y
4529148,SA_0000001476,COUNTRY,SVN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SVN,1.1,1.1,,,,2018-10-25T13:07:02+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289480,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2000,,,,,,,63.8,63.77006,,,,2020-12-04T17:03:19+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4529148,SA_0000001476,COUNTRY,SVN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SVN,1.1,1.1,,,,2018-10-25T13:07:02+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289479,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2000,,,,,,,66.5,66.51585,,,,2020-12-04T17:03:20+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4539112,SA_0000001476,COUNTRY,AUT,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:03+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5256532,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2000,,,,,,,66.3,66.34692,,,,2020-12-04T16:59:53+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4539112,SA_0000001476,COUNTRY,AUT,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:03+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5224447,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2000,,,,,,,68.2,68.17779,,,,2020-12-04T16:59:53+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4539112,SA_0000001476,COUNTRY,AUT,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:03+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5256531,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2000,,,,,,,69.8,69.81113,,,,2020-12-04T16:59:53+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4529271,SA_0000001476,COUNTRY,MEX,AMR,YEAR,Americas,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_MEX,1.9,1.9,,,,2018-10-25T13:07:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356130,WHOSIS_000002,COUNTRY,YEAR,AMR,Americas,SEX,SEX_MLE,2010,,,,,,,63.6,63.60364,,,,2020-12-04T17:02:13+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529271,SA_0000001476,COUNTRY,MEX,AMR,YEAR,Americas,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_MEX,1.9,1.9,,,,2018-10-25T13:07:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356180,WHOSIS_000002,COUNTRY,YEAR,AMR,Americas,SEX,SEX_BTSX,2010,,,,,,,65.1,65.12693,,,,2020-12-04T17:02:14+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529271,SA_0000001476,COUNTRY,MEX,AMR,YEAR,Americas,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_MEX,1.9,1.9,,,,2018-10-25T13:07:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356181,WHOSIS_000002,COUNTRY,YEAR,AMR,Americas,SEX,SEX_FMLE,2010,,,,,,,66.6,66.64231,,,,2020-12-04T17:02:14+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539114,SA_0000001476,COUNTRY,FIN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_FIN,5.4,5.4,,,,2018-10-25T13:07:07+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5256650,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2000,,,,,,,65.8,65.78826,,,,2020-12-04T17:00:58+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4539114,SA_0000001476,COUNTRY,FIN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_FIN,5.4,5.4,,,,2018-10-25T13:07:07+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5256584,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2000,,,,,,,69.6,69.6449,,,,2020-12-04T17:00:58+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
