SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PERCENT,BEER_PERCENT,WINE_PERCENT,OTHER_ALCOHOL_PERCENT
LUX,EUR,2016,2016,20.0,35.4,44.6,0.0
LVA,EUR,2016,2016,40.0,42.8,11.1,6.1
MAR,EMR,2016,2016,17.0,42.9,39.8,0.4
MCO,EUR,2016,2016,0.0,0.0,0.0,0.0
MDA,EUR,2016,2016,25.2,16.2,56.6,2.0
MDG,AFR,2016,2016,38.0,53.8,8.2,0.0
MDV,SEAR,2016,2016,31.9,30.8,37.2,0.0
MEX,AMR,2016,2016,20.4,77.1,2.1,0.5
MHL,WPR,2016,2016,0.0,0.0,0.0,0.0
MKD,EUR,2016,2016,17.4,35.3,46.6,0.7
MLI,AFR,2016,2016,0.0,15.8,1.2,83.0
MLT,EUR,2016,2016,28.7,36.4,29.9,4.9
MMR,SEAR,2016,2016,67.7,22.4,9.8,0.0
MNE,EUR,2016,2016,44.1,10.8,43.1,2.0
MNG,WPR,2016,2016,54.5,43.6,1.9,0.0
MOZ,AFR,2016,2016,12.4,78.7,8.3,0.6
MRT,AFR,2016,2016,0.0,0.0,0.0,0.0
MUS,AFR,2016,2016,30.8,53.9,15.4,0.0
MWI,AFR,2016,2016,11.3,8.8,0.8,79.1
MYS,WPR,2016,2016,17.4,60.7,21.0,0.8
NAM,AFR,2016,2016,13.9,60.2,10.4,15.6
NER,AFR,2016,2016,41.4,45.0,13.7,0.0
NGA,AFR,2016,2016,0.6,7.9,0.4,91.1
NIC,AMR,2016,2016,59.5,39.7,0.8,0.1
NIU,WPR,2016,2016,30.6,56.3,13.1,0.0
NLD,EUR,2016,2016,16.4,47.8,35.8,0.0
NOR,EUR,2016,2016,16.7,43.9,36.7,2.7
NPL,SEAR,2016,2016,20.0,31.0,49.0,0.0
NRU,WPR,2016,2016,74.3,22.0,3.7,0.0
NZL,WPR,2016,2016,28.9,37.4,33.4,0.3
OMN,EMR,2016,2016,57.0,39.8,2.8,0.3
PAK,EMR,2016,2016,0.0,0.0,0.0,0.0
PAN,AMR,2016,2016,19.4,76.9,3.5,0.3
PER,AMR,2016,2016,31.8,60.1,8.1,0.0
PHL,WPR,2016,2016,72.0,27.3,0.4,0.3
PLW,WPR,2016,2016,0.0,0.0,0.0,0.0
PNG,WPR,2016,2016,2.1,95.2,2.7,0.0
POL,EUR,2016,2016,36.1,56.1,7.8,0.0
PRK,SEAR,2016,2016,97.3,2.7,0.0,0.0
PRT,EUR,2016,2016,7.7,26.1,61.5,4.7
PRY,AMR,2016,2016,27.3,54.2,17.4,1.1
QAT,EMR,2016,2016,63.4,25.9,10.2,0.5
ROU,EUR,2016,2016,16.4,55.6,28.1,0.0
RUS,EUR,2016,2016,38.6,39.0,12.8,9.5
RWA,AFR,2016,2016,2.7,14.8,0.2,82.3
SAU,EMR,2016,2016,0.0,0.0,0.0,0.0
SDN,EMR,2016,2016,0.0,0.0,0.0,0.0
SEN,AFR,2016,2016,8.5,56.4,34.1,1.0
SGP,WPR,2016,2016,13.4,70.0,14.6,2.1
SLB,WPR,2016,2016,3.3,93.3,2.9,0.5
SLE,AFR,2016,2016,0.0,4.0,1.1,94.9
SLV,AMR,2016,2016,50.7,47.8,1.3,0.1
SMR,EUR,2016,2016,0.0,0.0,0.0,0.0
SOM,EMR,2016,2016,0.0,0.0,0.0,0.0
SRB,EUR,2016,2016,25.4,32.0,42.5,0.1
SSD,AFR,2016,2016,0.0,0.0,0.0,0.0
STP,AFR,2016,2016,0.0,19.8,80.2,0.0
SUR,AMR,2016,2016,48.8,44.9,3.5,2.8
SVK,EUR,2016,2016,41.9,33.7,20.9,0.0
SVN,EUR,2016,2016,8.0,41.4,50.6,0.0
SWE,EUR,2016,2016,14.1,36.4,47.8,1.7
SWZ,AFR,2016,2016,0.0,24.6,16.1,59.3
SYC,AFR,2016,2016,6.3,68.9,22.4,2.5
SYR,EMR,2016,2016,87.2,11.6,1.1,0.0
TCD,AFR,2016,2016,5.3,70.2,1.0,23.5
TGO,AFR,2016,2016,18.2,37.0,16.0,28.8
THA,SEAR,2016,2016,68.9,28.3,2.7,0.0
TJK,EUR,2016,2016,60.9,37.9,0.7,0.0
TKM,EUR,2016,2016,38.0,26.8,35.1,0.0
TLS,SEAR,2016,2016,0.0,67.6,32.4,0.0
TON,WPR,2016,2016,27.9,60.7,11.5,0.0
TTO,AMR,2016,2016,37.1,57.9,3.3,1.7
TUN,EMR,2016,2016,3.8,72.2,23.9,0.1
TUR,EUR,2016,2016,33.8,57.6,8.6,0.0
TUV,WPR,2016,2016,14.1,0.6,84.7,0.0
TZA,AFR,2016,2016,1.6,12.2,0.4,85.8
UGA,AFR,2016,2016,3.1,11.0,0.1,85.8
UKR,EUR,2016,2016,51.5,42.3,5.4,0.8
URY,AMR,2016,2016,21.1,35.2,43.7,0.0
USA,AMR,2016,2016,34.9,47.0,18.1,0.0
UZB,EUR,2016,2016,56.9,34.4,8.6,0.0
VCT,AMR,2016,2016,57.2,36.6,3.6,2.6
VEN,AMR,2016,2016,29.2,69.2,0.3,1.3
VNM,WPR,2016,2016,7.7,91.5,0.8,0.0
VUT,WPR,2016,2016,36.1,38.5,25.4,0.0
