Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4539203,SA_0000001476,COUNTRY,NOR,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NOR,2.1,2.1,,,,2018-10-25T13:07:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529074,SA_0000001476,COUNTRY,ZAF,AFR,YEAR,Africa,,,1992,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ZAF,7.8,7.8,,,,2018-10-25T13:07:01+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
4529152,SA_0000001476,COUNTRY,EST,EUR,YEAR,Europe,,,2001,,,,,DATASOURCE,DATASOURCE_SA_0000001476_EST,1.9,1.9,,,,2018-10-25T13:07:07+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4529130,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,1998,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.8,0.8,,,,2018-10-25T13:07:08+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
4529208,SA_0000001476,COUNTRY,ARM,EUR,YEAR,Europe,,,2006,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ARM,1.7,1.7,,,,2018-10-25T13:07:08+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4529227,SA_0000001476,COUNTRY,AZE,EUR,YEAR,Europe,,,2008,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AZE,0.6,0.6,,,,2018-10-25T13:07:00+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4529206,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,2005,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.8,0.8,,,,2018-10-25T13:07:00+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4529079,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,1994,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.9,0.9,,,,2018-10-25T13:07:09+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4539513,SA_0000001476,COUNTRY,AZE,EUR,YEAR,Europe,,,1992,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AZE,1,1.0,,,,2018-10-25T13:07:01+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
4539168,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,2007,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,2,2.0,,,,2018-10-25T13:07:04+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4519704,SA_0000001476,COUNTRY,KGZ,EUR,YEAR,Europe,,,1991,,,,,DATASOURCE,DATASOURCE_SA_0000001476_KGZ,4.2,4.2,,,,2018-10-25T13:07:09+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
4529262,SA_0000001476,COUNTRY,HRV,EUR,YEAR,Europe,,,2009,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HRV,1.5,1.5,,,,2018-10-25T13:07:07+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4519719,SA_0000001476,COUNTRY,FIN,EUR,YEAR,Europe,,,1994,,,,,DATASOURCE,DATASOURCE_SA_0000001476_FIN,6.2,6.2,,,,2018-10-25T13:07:09+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4539097,SA_0000001476,COUNTRY,TJK,EUR,YEAR,Europe,,,2013,,,,,DATASOURCE,DATASOURCE_SA_0000001476_TJK,0.1,0.1,,,,2018-10-25T13:07:11+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4539509,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,1991,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,1.1,1.1,,,,2018-10-25T13:07:06+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
4548510,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2013,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,1.9,1.9,,,,2018-10-25T13:07:02+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4519693,SA_0000001476,COUNTRY,TKM,EUR,YEAR,Europe,,,1990,,,,,DATASOURCE,DATASOURCE_SA_0000001476_TKM,3.4,3.4,,,,2018-10-25T13:07:09+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
4529086,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,1995,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.8,0.8,,,,2018-10-25T13:07:03+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4548474,SA_0000001476,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,2007,,,,,DATASOURCE,DATASOURCE_SA_0000001476_BTN,3.8,3.8,,,,2018-10-25T13:07:06+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4529110,SA_0000001476,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,1996,,,,,DATASOURCE,DATASOURCE_SA_0000001476_JPN,1.2,1.2,,,,2018-10-25T13:07:05+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
4539570,SA_0000001476,COUNTRY,SVN,EUR,YEAR,Europe,,,2002,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SVN,1,1.0,,,,2018-10-25T13:07:08+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4529058,SA_0000001476,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,1994,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUS,2.9,2.9,,,,2018-10-25T13:07:00+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4548468,SA_0000001476,COUNTRY,HUN,EUR,YEAR,Europe,,,2006,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HUN,1.1,1.1,,,,2018-10-25T13:07:03+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4548480,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2008,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,2.7,2.7,,,,2018-10-25T13:07:09+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4539172,SA_0000001476,COUNTRY,ARM,EUR,YEAR,Europe,,,2008,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ARM,1.5,1.5,,,,2018-10-25T13:07:10+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4529160,SA_0000001476,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2002,,,,,DATASOURCE,DATASOURCE_SA_0000001476_JPN,1.1,1.1,,,,2018-10-25T13:07:07+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4548489,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,2,2.0,,,,2018-10-25T13:07:01+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4519637,SA_0000001476,COUNTRY,AZE,EUR,YEAR,Europe,,,1990,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AZE,1.3,1.3,,,,2018-10-25T13:07:07+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
4539096,SA_0000001476,COUNTRY,NZL,WPR,YEAR,Western Pacific,,,2013,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NZL,1.9,1.9,,,,2018-10-25T13:07:02+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4539095,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,1.2,1.2,,,,2018-10-25T13:07:10+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4519676,SA_0000001476,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,1990,,,,,DATASOURCE,DATASOURCE_SA_0000001476_PLW,5.4,5.4,,,,2018-10-25T13:07:05+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
4539573,SA_0000001476,COUNTRY,USA,AMR,YEAR,Americas,,,2003,,,,,DATASOURCE,DATASOURCE_SA_0000001476_USA,1,1.0,,,,2018-10-25T13:07:08+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4539538,SA_0000001476,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,1994,,,,,DATASOURCE,DATASOURCE_SA_0000001476_JPN,1.1,1.1,,,,2018-10-25T13:07:02+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4519706,SA_0000001476,COUNTRY,UZB,EUR,YEAR,Europe,,,1991,,,,,DATASOURCE,DATASOURCE_SA_0000001476_UZB,3.2,3.2,,,,2018-10-25T13:07:06+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
4548492,SA_0000001476,COUNTRY,BLR,EUR,YEAR,Europe,,,2011,,,,,DATASOURCE,DATASOURCE_SA_0000001476_BLR,2.2,2.2,,,,2018-10-25T13:07:00+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4539581,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2005,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,2.8,2.8,,,,2018-10-25T13:07:09+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4529113,SA_0000001476,COUNTRY,GBR,EUR,YEAR,Europe,,,1997,,,,,DATASOURCE,DATASOURCE_SA_0000001476_GBR,6.1,6.1,,,,2018-10-25T13:07:08+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4529066,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,1994,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,2.2,2.2,,,,2018-10-25T13:07:07+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4529106,SA_0000001476,COUNTRY,RUS,EUR,YEAR,Europe,,,1995,,,,,DATASOURCE,DATASOURCE_SA_0000001476_RUS,2.5,2.5,,,,2018-10-25T13:07:01+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4539541,SA_0000001476,COUNTRY,AUT,EUR,YEAR,Europe,,,1995,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUT,1.7,1.7,,,,2018-10-25T13:07:10+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4529202,SA_0000001476,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2004,,,,,DATASOURCE,DATASOURCE_SA_0000001476_JPN,1.1,1.1,,,,2018-10-25T13:07:11+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4539562,SA_0000001476,COUNTRY,ARM,EUR,YEAR,Europe,,,2001,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ARM,1.6,1.6,,,,2018-10-25T13:07:10+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4548515,SA_0000001476,COUNTRY,HUN,EUR,YEAR,Europe,,,2014,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HUN,3.2,3.2,,,,2018-10-25T13:07:02+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4539170,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2007,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,2.7,2.7,,,,2018-10-25T13:07:10+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4539163,SA_0000001476,COUNTRY,DNK,EUR,YEAR,Europe,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_DNK,1.7,1.7,,,,2018-10-25T13:07:06+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4539220,SA_0000001476,COUNTRY,ARM,EUR,YEAR,Europe,,,2013,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ARM,1.4,1.4,,,,2018-10-25T13:07:05+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4529191,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,2001,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,2,2.0,,,,2018-10-25T13:07:07+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4539551,SA_0000001476,COUNTRY,USA,AMR,YEAR,Americas,,,1995,,,,,DATASOURCE,DATASOURCE_SA_0000001476_USA,0.9,0.9,,,,2018-10-25T13:07:10+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4529283,SA_0000001476,COUNTRY,UKR,EUR,YEAR,Europe,,,2011,,,,,DATASOURCE,DATASOURCE_SA_0000001476_UKR,1.4,1.4,,,,2018-10-25T13:07:01+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4529263,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,2009,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.7,0.7,,,,2018-10-25T13:07:03+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4529241,SA_0000001476,COUNTRY,DNK,EUR,YEAR,Europe,,,2007,,,,,DATASOURCE,DATASOURCE_SA_0000001476_DNK,1.7,1.7,,,,2018-10-25T13:07:09+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4539167,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,2016,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,1.2,1.2,,,,2018-10-25T13:07:08+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4548519,SA_0000001476,COUNTRY,AZE,EUR,YEAR,Europe,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AZE,0.5,0.5,,,,2018-10-25T13:07:01+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4548498,SA_0000001476,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,2012,,,,,DATASOURCE,DATASOURCE_SA_0000001476_BTN,4.3,4.3,,,,2018-10-25T13:07:09+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4539155,SA_0000001476,COUNTRY,NOR,EUR,YEAR,Europe,,,2006,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NOR,2.9,2.9,,,,2018-10-25T13:07:08+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4539571,SA_0000001476,COUNTRY,USA,AMR,YEAR,Americas,,,2002,,,,,DATASOURCE,DATASOURCE_SA_0000001476_USA,0.9,0.9,,,,2018-10-25T13:07:02+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4529153,SA_0000001476,COUNTRY,FIN,EUR,YEAR,Europe,,,2001,,,,,DATASOURCE,DATASOURCE_SA_0000001476_FIN,5.4,5.4,,,,2018-10-25T13:07:01+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4539516,SA_0000001476,COUNTRY,UZB,EUR,YEAR,Europe,,,1992,,,,,DATASOURCE,DATASOURCE_SA_0000001476_UZB,3.2,3.2,,,,2018-10-25T13:07:01+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
4519687,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,1992,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,3.7,3.7,,,,2018-10-25T13:07:09+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
4539535,SA_0000001476,COUNTRY,NOR,EUR,YEAR,Europe,,,1993,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NOR,4.2,4.2,,,,2018-10-25T13:07:10+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
4529196,SA_0000001476,COUNTRY,DNK,EUR,YEAR,Europe,,,2003,,,,,DATASOURCE,DATASOURCE_SA_0000001476_DNK,2.3,2.3,,,,2018-10-25T13:07:01+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4519646,SA_0000001476,COUNTRY,BLR,EUR,YEAR,Europe,,,1991,,,,,DATASOURCE,DATASOURCE_SA_0000001476_BLR,5.9,5.9,,,,2018-10-25T13:07:11+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
4539153,SA_0000001476,COUNTRY,DNK,EUR,YEAR,Europe,,,2006,,,,,DATASOURCE,DATASOURCE_SA_0000001476_DNK,1.8,1.8,,,,2018-10-25T13:07:11+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4539217,SA_0000001476,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2012,,,,,DATASOURCE,DATASOURCE_SA_0000001476_PHL,0.6,0.6,,,,2018-10-25T13:07:11+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4539185,SA_0000001476,COUNTRY,MKD,EUR,YEAR,Europe,,,2009,,,,,DATASOURCE,DATASOURCE_SA_0000001476_MKD,1.8,1.8,,,,2018-10-25T13:07:02+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
