Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4890129,SA_0000001523,COUNTRY,KEN,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,53.48,,,,,2014-01-03T08:38:45+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889398,SA_0000001523,COUNTRY,CMR,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,0.74,,,,,2014-01-03T08:38:27+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889464,SA_0000001523,COUNTRY,DZA,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,31.66,,,,,2014-01-03T08:38:19+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4890056,SA_0000001523,COUNTRY,GTM,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,2.15,,,,,2014-01-03T08:38:39+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889491,SA_0000001523,COUNTRY,FIN,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,29.53,,,,,2014-01-03T08:38:36+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909543,SA_0000001523,COUNTRY,UZB,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:44+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889476,SA_0000001523,COUNTRY,ERI,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898889,SA_0000001523,COUNTRY,MWI,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,1.4,,,,,2014-01-03T08:39:20+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889510,SA_0000001523,COUNTRY,GEO,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:50+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898801,SA_0000001523,COUNTRY,LCA,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,2.96,,,,,2014-01-03T08:39:00+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898948,SA_0000001523,COUNTRY,PAN,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,8,,,,,2014-01-03T08:39:16+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898767,SA_0000001523,COUNTRY,KGZ,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,3.17,,,,,2014-01-03T08:38:46+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898927,SA_0000001523,COUNTRY,NPL,YEAR,SEAR,South-East Asia,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,8.36,,,,,2014-01-03T08:38:53+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
