SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue
MDA,EUR,1994,2,1994
ARM,EUR,2015,1.4,2015
GBR,EUR,2004,5.5,2004
ISL,EUR,1991,3.2,1991
EST,EUR,2010,2.2,2010
GRC,EUR,2004,1,2004
ITA,EUR,2004,0.8,2004
TJK,EUR,1993,2.2,1993
BLR,EUR,1993,5.6,1993
UZB,EUR,2016,0.5,2016
DNK,EUR,2003,2.3,2003
POL,EUR,1991,8.5,1991
DNK,EUR,2002,2.2,2002
HRV,EUR,2006,1.6,2006
EST,EUR,2004,1.9,2004
CAN,AMR,2008,2,2008
ARM,EUR,2009,1.6,2009
BLR,EUR,1992,5.4,1992
ITA,EUR,2009,0.7,2009
SWE,EUR,2000,3.3,2000
RUS,EUR,1995,2.5,1995
TJK,EUR,2007,0.2,2007
UZB,EUR,1995,1.9,1995
KAZ,EUR,1990,5,1990
ARM,EUR,2002,1.6,2002
KAZ,EUR,1993,5,1993
TJK,EUR,2012,0.1,2012
DNK,EUR,2000,2.3,2000
FIN,EUR,1992,6.9,1992
JPN,WPR,2013,1,2013
NZL,WPR,2010,2.1,2010
UKR,EUR,2012,1.5,2012
RUS,EUR,1991,4.2,1991
FIN,EUR,2015,4.1,2015
NOR,EUR,1991,4.6,1991
NOR,EUR,1999,3.9,1999
ARM,EUR,1991,2.8,1991
ISL,EUR,2005,2.9,2005
ITA,EUR,2000,0.8,2000
EST,EUR,1999,2,1999
